Time,Velocity
1562269529.905951,19.315196990966797
1562269530.897868,19.40556526184082
1562269531.098173,19.395029067993164
1562269531.296277,19.472755432128906
1562269531.497458,19.558353424072266
1562269532.263322,19.507232666015625
1562269533.530621,19.461380004882812
1562269533.731142,19.494192123413086
1562269533.928886,19.442737579345703
1562269534.128457,19.40167808532715
1562269534.889867,19.459531784057617
1562269535.891923,19.40315055847168
1562269536.092403,19.420719146728516
1562269536.2903,19.356216430664062
1562269536.491043,19.30351448059082
1562269537.253655,19.2578182220459
1562269538.283998,19.260473251342773
1562269538.482871,19.173418045043945
1562269538.682871,19.19542121887207
1562269538.883397,19.034019470214844
1562269539.644291,18.977846145629883
1562269540.903015,18.891481399536133
1562269541.098682,18.794431686401367
1562269541.298005,18.745532989501953
1562269541.497636,18.641035079956055
1562269542.260285,18.655166625976562
1562269542.973219,18.524446487426758
1562269543.17315,18.503915786743164
1562269543.371696,18.397071838378906
1562269543.571592,18.36022186279297
1562269544.334829,18.377548217773438
1562269545.611963,18.288663864135742
1562269545.810647,18.24135398864746
1562269546.009743,18.177175521850586
1562269546.209867,18.120220184326172
1562269547.250828,18.043758392333984
1562269548.251042,18.09343147277832
1562269548.450348,17.982585906982422
1562269548.650611,17.954065322875977
1562269548.848677,17.866586685180664
1562269549.609175,17.743515014648438
1562269550.859362,17.637351989746094
1562269551.341399,17.58171272277832
1562269551.539848,17.516660690307617
1562269551.73975,17.474185943603516
1562269552.499144,17.31568717956543
1562269553.49014,17.305734634399414
1562269553.971249,17.235248565673828
1562269554.169417,17.257259368896484
1562269554.370744,17.237403869628906
1562269555.128121,17.10700798034668
1562269556.427136,17.03639030456543
1562269556.627005,16.960926055908203
1562269556.825965,16.743410110473633
1562269557.025623,16.692089080810547
1562269558.059811,16.564523696899414
1562269559.300129,16.190248489379883
1562269559.783436,15.623080253601074
1562269559.98196,15.149458885192871
1562269560.182744,14.745773315429688
1562269560.937975,14.139376640319824
1562269561.922611,13.63876724243164
1562269562.405413,13.055721282958984
1562269562.60209,12.550692558288574
1562269562.801024,11.97111701965332
1562269563.554512,11.410282135009766
1562269564.821414,10.97659683227539
1562269565.301515,10.356760025024414
1562269565.499777,9.864921569824219
1562269565.699688,9.331681251525879
1562269566.455452,8.84310531616211
1562269567.210779,8.717470169067383
1562269567.690019,8.663361549377441
1562269567.888297,8.575973510742188
1562269568.088842,8.572769165039062
1562269568.841304,8.462870597839355
1562269570.122545,8.460532188415527
1562269570.601299,8.377829551696777
1562269570.798982,8.330878257751465
1562269570.998874,8.1499605178833
1562269571.752091,8.0492582321167
1562269573.065848,8.043524742126465
1562269573.540549,7.90881872177124
1562269573.739202,7.817968845367432
1562269573.939596,7.770484447479248
1562269574.689257,7.6377339363098145
